tweets,sentiment,class
North Korea fires suspected intercontinental ballistic missile - #intercontinental #north_korea #pyongyang #korea #north #news https://t.co/SJUelL5bqC,-0.2263,-1
"RT @gobeatroute: Learn. Network. Grow. 

Attending #Marketing2point0 at #Intercontinental Festival City, Dubai 📈 https://t.co/9SmrqasZLg",0.4939,1
"We’re sad to be home but we had a great time in New York. We stayed in the InterContinental New York Barclay. It’s a beautiful hotel situated Midtown East close to Grand Central station and the Chrysler building
#NewYork #NewYorkCity #intercontinental https://t.co/ZD2KEamNMl",0.9428,1
"#NorthKorea test-fired suspected #intercontinental ballistic #missile, #Japan says. https://t.co/G5qGjqUj0Y",-0.2263,-1
"The enliven Team of #IISC #Germany &amp; #ISB #Studienkolleg is pleased attending #Education 2.0 #Conference at #Dubai, #Intercontinental Dubai - #Festival #City.

We're thrilled to be included in such a happy #event and plan to meet new #connections, #partners, networkings and so on https://t.co/wpwGqpindK",0.8591,1
"Master Class on Climate Change:
How to Address the Economic, Social and Developmental Implications

When: April 7th, 6:00 - 10:00 PM
Where: #InterContinental #Geneva, #Switzerland Registration https://t.co/tzwxTluAyQ https://t.co/YJ3hQTp46D",0.0,0
#Mercedes-Benz and #Bosch showcase automated valet parking at #InterContinental #LosAngelesDowntownhotel https://t.co/UPaRI8DUKN,0.0,0
"RT @Otanod__: And new #intercontinental champion @KingRicochet 
#WWE #SmackDown #otanod #WWERaw https://t.co/pdNGKmi9zU",0.5994,1
"Learn. Network. Grow. 

Attending #Marketing2point0 at #Intercontinental Festival City, Dubai 📈 https://t.co/9SmrqasZLg",0.4939,1
#North #Korea #tests banned #intercontinental #missile https://t.co/ZWOinr9xaA,-0.4588,-1
"#NorthKorea tests #banned #intercontinental #missile
https://t.co/C3V01ynfkD",0.0,0
"#Hypersonic, #intercontinental and #nuclear capable missiles are reason enough to stop escalation, including ending weapon shipments to #Ukraine. Those supporting escalation are the enemies of humanity. Unfortunately a diplomatic solution isn’t profitable.
#UkraineRussianWar https://t.co/jh6jc9YczT",0.1779,1
I had to get it! #RazorRamon #Intercontinental championship. Thanks you to #TheBadGuy #ScottHall #ScottHallForever https://t.co/dNBrw1nCDo,0.7263,1
"✨Open from 10:00am to 8:00pm

To book an appointment, please call us on +91 89398 65136
.
.

#InterContinental #InterContinental75 #InterContinentalLife #InterContinentalChennai #AnIHGHotel
#AmrtamSpa
#Chennai
#Mahabalipuram",0.3182,1
My suggestion? Scott Hall memorial ladder match at #WrestleMania for the #intercontinental championship with @ShawnMichaels as the guest referee,0.4404,1
"2 bedroom apartment for sale in Intercontinental, Hurghada, Red Sea, Egypt https://t.co/lrSAc0Obla via @YouTube 
#myrealestate #apartmentforsale #hurghadaproperty #redsea #egypt #intercontinental #readyapartment #apartmentwithterrace #poolview #holidayhome #privateentrance",0.0,0
"#wwe
Intercontinental Championship | Smackdown | Zachary Crossfire | vs | Tyler Bate |
Current Holder: None

(#SmackDown #roblox #intercontinental #Championship) https://t.co/7Y8Co0IaLS",0.4404,1
"#Intercontinental #Movement of Highly Pathogenic #Avian #Influenza A(#H5N1) Clade 2.3.4.4 Virus to the #USA, 2021 - Volume 28, Number 5—May 2022 - Emerging Infectious Diseases journal - CDC https://t.co/2Xr7JGNW2w via @CDCgov",0.0772,1
