tweets,sentiment,class
"@ShopFloorNAM #Cargill, #ADM, #Amerisource, #Bergen, #Mohawk, #Kellogg, #Bunge, #Pfizer, #Marriott, #Internationalpaper, #Emerson, #Koch, #JohnsonandJohnson and #procterandgamble continue their activities in the country of killers, in russia. We urge you to remove their products!",-0.68,-1
"Welcoming the morning with a heart felt ‘Hello’ feels extra special when it is Sheraton Istanbul Levent

#Marriott #Sheraton #TheWorldsGatheringPlace #SheratonLeventIstanbul #MarriottBonvoy #Sunday #SheratonMorning #Istanbul https://t.co/IDjvsfFuYl",0.6808,1
Color POS Cards W/Your Logo https://t.co/Zh1uXDmIG9 #zaxbys #Marriott #Hyatt #burgerworld #ritzcarlton #shakeshack #IHOP #sonicdrivein #foodie #Marriott #courtyardmarriott #Burgerfi #Aloft #raisingcanes #canes #buffalowildwings #Bdubs #daveandbusters #HGI #Hiltongardeninn https://t.co/o5vZ1eZNvT,0.0,0
"Sunday marks the first dat of Spring!💐

This time of the year is the perfect time to renovate your hotel, get started today at https://t.co/7mBPRp2tO5!

@SpringHillSuite 

#spring #hotelindustry #hotelmanagement #hotels #hoteldesign #springhillsuites #marriott https://t.co/m3E7E6G4pG",0.6467,1
We love mentoring young #leaders.  #Chattanooga #Tennessee #Marriott #MSPETS https://t.co/wQj6IijNWP,0.6369,1
"RT @shipra3587: Had a worst experience at fairfield by #Marriott belagavi, the #hotel took away the brand reputation from my heart and mind…",-0.6249,-1
"RT @mselip: #NYT reports on Russian sanctions: 
#Hyatt &amp; #Marriott hotels still running in Russia.
#Citi, #BridgestoneTire &amp; #PhilipMorris…",0.0,0
@MBonvoyAssist #Marriott @STLCounty #MarriottBonvoy We went to use the pool this morning and found a nasty cloudy pool with hair and debris everywhere with ants crawling all around the pool at resident inn/courtyard by Marriott St. Louis west county. https://t.co/BSBmjbZFrY,-0.5574,-1
"RT @suitesandlobbi1: Finding chain hotels within the French Quarter can be a challenge, but the W New Orleans – French Quarter masters loca…",0.0387,1
"RT @Hassam_021: Noor alam faced Worst humiliation at #Marriott hotel #Islamabad
#ImranKhan 
 #OICInPakistan #PDMMafiaExposed https://t.co/7…",-0.8316,-1
"RT @AloftKathmandu: Ready for a long vacation? We are ready to serve you as well with an exclusive offer!
To know more, visit: https://t.co…",0.784,1
Aloha NCR POS Cashier Cards https://t.co/GBVaJ29xxK #zaxbys #Marriott #Hyatt #burgerworld #ritzcarlton #shakeshack #IHOP #sonicdrivein #foodie #Marriott #courtyardmarriott #Burgerfi #Aloft #raisingcanes #canes #buffalowildwings #Bdubs #daveandbusters #HGI #Hiltongardeninn https://t.co/sHT161kT5G,0.0,0
"@NeilBradleyDC #Cargill, ADM, #Amerisource, Bergen, Mohawk, #Kellogg's, #Bunge, #Pfizer, #Marriott, International paper, #Emerson, #Koch, Johnson and Johnson and Procter&amp;Gamble continue their activities in the country of killers, in russia.People urge you to remove their products from retailers https://t.co/zjmNczG6vy",-0.6486,-1
RT @SHOCKW4VED: @MrNovusOrdo @squad3o3 @YourAnonNews #Hilton and #Marriott hotels are also still doing business in Russia.,0.0,0
Thank you @wpuntademita for such amazing hospitality. #vacation #bonvoy #marriott #ambassador @ W Punta De Mita https://t.co/zTw72WffPa,0.743,1
Color POS Manager Cards https://t.co/GBVaJ29xxK #zaxbys #Marriott #Hyatt #burgerworld #ritzcarlton #shakeshack #IHOP #sonicdrivein #foodie #Marriott #courtyardmarriott #Burgerfi #Aloft #raisingcanes #canes #buffalowildwings #Bdubs #daveandbusters #HGI #Hiltongardeninn https://t.co/siNmNVHQF5,0.0,0
"THE ST. REGIS BAR, MACAO BY SANDS CORPORATION

Sands Corporation, Aedas, Steve Leung Design Group have been shortlisted for Bar/Club/Lounge – Global in The International Hotel and property Awards 2022.

https://t.co/E6IEccpTBY

#stregis #macao #marriott #hotel #hoteldesign https://t.co/zYgRFAGCIi",0.4588,1
"@SuzanneUSCC #Cargill, ADM, #Amerisource, Bergen, Mohawk, #Kellogg's, #Bunge, #Pfizer, #Marriott, International paper, #Emerson, #Koch, Johnson and Johnson and Procter&amp;Gamble continue their activities in the country of killers, in russia.People urge you to remove their products from retailers https://t.co/3q0Y9xAWhg",-0.6486,-1
@WHotels Istanbul. Still a gem in the middle of city. #Marriott #Bonvoy #Turkey 🇹🇷 #Istanbul https://t.co/sslZwbVkeb,0.0,0
Just when you think you can venture out again- this is the face of #travel. housekeeping by “request only” at the #jwmarriott #anaheim #disneyland. We also enjoyed the valet watching us put our luggage in the trunk while he held the car key! #marriott #MarriottBonvoy https://t.co/lV7nnyo8Q1,0.5562,1
"@JSchnidman #Cargill, ADM, #Amerisource, Bergen, Mohawk, #Kellogg's, #Bunge, #Pfizer, #Marriott, International paper, #Emerson, #Koch, Johnson and Johnson and Procter&amp;Gamble continue their activities in the country of killers, in russia.People urge you to remove their products from retailers https://t.co/3mkrhFTyNQ",-0.6486,-1
"RT @JaipurMarriott: Jaipur Marriott Hotel wishes everyone a very 'Happy Holi'  🙌 

#jaipurmarriott #marriottjaipur #momentswithJM #marriott…",0.6801,1
"When you know how to work hard and breakfast harder at Re:Fuel!

#ReFuel #AloftHotels #Marriott #MarriottHotels #Breakfast #WholesomeBreakfast #DeliciousTales @ShantiHospitality @marriottintl #Nepal #Kathmandu #AloftKathmanduThamel https://t.co/atVpdB0QCl",-0.1759,-1
